text,Circulated as claim or as debunk or undecided,screen_name,user_id,tweet_id,retweet_count,created_at
"VIDEO - ""Je n'ai pas de compte aux Bahamas"", assure Macron https://t.co/BkYs8dG6oT https://t.co/WJ0Rz4a8JV",debunk,BFMTV,133663801,860028256946401280,32,2017-05-04T07:08:09.000Z
"Débat #Macron - #LePen : compte aux Bahamas, #UOIF, explications https://t.co/QbM79IkqKR https://t.co/hiYqqoJE7E",debunk,LInternauteInfo,90656807,860147011957514240,0,2017-05-04T15:00:03.000Z
Compte aux  #Bahamas : #Macron porte #plainte pour «propagation de #faussenouvelle » https://t.co/BtVDxs9FyZ via @figaroelections,debunk,Djamila48_,483398029,860091395264172032,0,2017-05-04T11:19:03.000Z
« Compte aux Bahamas »: Plainte de Macron pour « faux » et « propagation de fausse nouvelle »… https://t.co/ilBD7sY72f,debunk,infosActus,448756864,860090245177421824,2,2017-05-04T11:14:28.000Z
"Le compte aux Bahamas du fraudeur macron
https://t.co/SLQiImNVjX
#EmmanuelMacron #EmmanuelHollande #fraudeur",claim,Logix_Cartesian,853970234545508400,860196785419145216,0,2017-05-04T18:17:49.000Z
"#Presidentielle2017 
Compte aux #Bahamas :
#Macron porte plainte, le parquet ouvre une enquête ▶️https://t.co/1DWyc6Y0gI",debunk,FranceBedos,123214391,860096683547533312,0,2017-05-04T11:40:03.000Z
"«Compte aux Bahamas» : après la plainte de #Macron, le parquet ouvre une enquête https://t.co/CP7mSB0GDK",debunk,Darkvadehors,2381965688,860145126810820609,0,2017-05-04T14:52:33.000Z
"Compte aux Bahamas : #Macron porte plainte contre X, le parquet ouvre une enquête  https://t.co/9RogY7PrW2",debunk,OhmarieCS,51475642,860099810237575168,0,2017-05-04T11:52:29.000Z
"«Compte aux #Bahamas» : après la plainte de #Macron, le parquet ouvre une enquête https://t.co/Kquaz5JSRm",debunk,charlieburgond,3008073210,860120016049643520,0,2017-05-04T13:12:46.000Z
#Macron -- Compte aux Bahamas: le parquet ouvre une enquête. https://t.co/lbT07qgdb3,debunk,jassogne,304547610,860130594134601728,0,2017-05-04T13:54:48.000Z
"#Presidentielle2017
Compte aux #Bahamas :
#Macron porte plainte, le parquet ouvre une enquête. 
▶️… https://t.co/A015OUip59",debunk,FranceBedos,123214391,860097903003566080,0,2017-05-04T11:44:54.000Z
"""Compte aux Bahamas"": le parquet ouvre une enquête après la plainte de #Macron https://t.co/7vNzY2mCt4",debunk,alexboudano,1536317270,860202895869968390,0,2017-05-04T18:42:06.000Z
@Gaoutte @Phiphi10001 @bel_doron @FrancoisFillon @EmmanuelMacron @MLP_officiel Que Macron déclare son compte offshore,claim,CrocdeGang,300834443,856249287763800071,8,2017-04-23T20:51:53.000Z
"COMPTE OFFSHORE  de #macron #macron2017 partagez ça doit se savoir !!!!!!!
https://t.co/1htMjK24CO",claim,STANXdubstep,570692125,855493347938631680,0,2017-04-21T18:48:03.000Z
"Censure de l’enquête sur le compte offshore de #Macron 

https://t.co/YkNYG5znTx",claim,Yann_Lucide,493885192,855114935407435776,2,2017-04-20T17:44:22.000Z
Compte #offshore #macron : censure ? #Presidentielle2017 #Election2017 #PamelaAnderson #JLM2017 #laforcedupeuple… https://t.co/xuBYUiWXcL,claim,SauceArachide,2349067166,855027946993614848,4,2017-04-20T11:58:42.000Z
Censure de l’enquête sur le compte offshore de #Macron https://t.co/sxhsXs5xAN,claim,M_Champi,197063362,855133213081128962,2,2017-04-20T18:57:00.000Z
Censure de l’enquête sur le compte offshore de #Macron https://t.co/2jqhi6uM3j,claim,Sandd4s,128236592,855234767901642757,0,2017-04-21T01:40:32.000Z
#Presidentielle2017 #Manipulation #Censure de l’enquête sur le compte offshore de #Macron https://t.co/bAqblKnvvx,claim,mjdso13,2980220824,854820322306117632,2,2017-04-19T22:13:41.000Z
Censure de l’enquête sur le compte offshore de Macron https://t.co/1RecQbwOZK,claim,BMimoso,2512644250,854786927681294336,3,2017-04-19T20:00:59.000Z
"@VeroniquePerrot @JLMelenchon @VanityFair Censure de l’enquête sur le compte offshore de Macron

https://t.co/hLmBAWir0d",claim,reatsent,2855825801,855096620739964928,2,2017-04-20T16:31:35.000Z
Censure de l’enquête sur le compte offshore de #Macron https://t.co/UXcr57W4mq,claim,ta_malou,957864500,854922386780639236,16,2017-04-20T04:59:15.000Z
"Alors #Macron, elle est bonne la soupe ? Compte #offshore #censure  #Presidentielle2017 #Election2017 #EnMarche… https://t.co/i1awpJCxDo",claim,SauceArachide,2349067166,855021842180034560,0,2017-04-20T11:34:27.000Z
